split,classifier,accuracy,f1,precision,recall,training_time
0,kNN,0.4684838160136286,0.4687202870602748,0.4794700463574454,0.4684838160136286,0.0004611015319824219
0,SVM,0.8466780238500852,0.8472761011175685,0.8507960163519351,0.8466780238500852,0.1309807300567627
0,NB,0.7836456558773425,0.7857103200031773,0.7889967660799878,0.7836456558773425,0.003443002700805664
0,NN,0.8671209540034072,0.8668926710810794,0.8669289680588744,0.8671209540034072,0.3657186031341553
0,LR,0.8943781942078365,0.8945523724998318,0.8948619934040708,0.8943781942078365,0.04786276817321777
0,RF,0.838160136286201,0.8395415704825141,0.8416335135245062,0.838160136286201,0.33670592308044434
1,kNN,0.48211243611584326,0.47862444026075573,0.4953649021150077,0.48211243611584326,0.00044608116149902344
1,SVM,0.8500851788756388,0.8502312413569134,0.8505012919475397,0.8500851788756388,0.12523722648620605
1,NB,0.787052810902896,0.7869839178229975,0.7869631069553032,0.787052810902896,0.004472494125366211
1,NN,0.8722316865417377,0.872130988673581,0.8721801504819839,0.8722316865417377,0.27797412872314453
1,LR,0.9011925042589438,0.9009920766783243,0.9009283586529184,0.9011925042589438,0.042764902114868164
1,RF,0.8432708688245315,0.8418717449108276,0.8417627393144438,0.8432708688245315,0.34372949600219727
2,kNN,0.47700170357751276,0.4701952409668917,0.4714883334875244,0.47700170357751276,0.00044465065002441406
2,SVM,0.838160136286201,0.8385854708480618,0.8408193357820757,0.838160136286201,0.12765789031982422
2,NB,0.778534923339012,0.777078070845327,0.7773180429200006,0.778534923339012,0.0012552738189697266
2,NN,0.8705281090289608,0.8710284548112494,0.8722830002319826,0.8705281090289608,0.4745368957519531
2,LR,0.8960817717206133,0.896219798892781,0.8966456922634298,0.8960817717206133,0.04182696342468262
2,RF,0.848381601362862,0.8476358743732091,0.848282121145833,0.848381601362862,0.3346409797668457
3,kNN,0.47700170357751276,0.48131507205649293,0.5112938120493068,0.47700170357751276,0.0004658699035644531
3,SVM,0.8671209540034072,0.8672020818281759,0.8677866436228432,0.8671209540034072,0.12476849555969238
3,NB,0.7700170357751278,0.7706861495875921,0.7729093323071645,0.7700170357751278,0.0034246444702148438
3,NN,0.848381601362862,0.8479240034543066,0.8481650711280787,0.848381601362862,0.46668291091918945
3,LR,0.8926746166950597,0.892179684993546,0.8927767276798518,0.8926746166950597,0.03887152671813965
3,RF,0.8398637137989778,0.8394939034188723,0.839299074818872,0.8398637137989778,0.34146809577941895
4,kNN,0.4735945485519591,0.47416847544503943,0.4906605402309582,0.4735945485519591,0.0004360675811767578
4,SVM,0.8194207836456558,0.8215050219795123,0.8260431284649228,0.8194207836456558,0.12328243255615234
4,NB,0.8006814310051107,0.8013990316396292,0.8047280418324084,0.8006814310051107,0.005330085754394531
4,NN,0.8620102214650767,0.8627567305085526,0.8652593090818166,0.8620102214650767,0.3202807903289795
4,LR,0.8926746166950597,0.8929107618684721,0.8942150711915814,0.8926746166950597,0.04203510284423828
4,RF,0.8620102214650767,0.8623133894986794,0.8646863082803559,0.8620102214650767,0.3339211940765381
5,kNN,0.4616695059625213,0.4600992810437738,0.475367185952065,0.4616695059625213,0.00044727325439453125
5,SVM,0.82793867120954,0.8280308688057029,0.8287013365181751,0.82793867120954,0.13312077522277832
5,NB,0.7666098807495741,0.7658737255439263,0.7655257598247367,0.7666098807495741,0.004782915115356445
5,NN,0.8722316865417377,0.8720364557230144,0.8724413375172939,0.8722316865417377,0.3412191867828369
5,LR,0.8909710391822828,0.8909347392847874,0.8928359028300394,0.8909710391822828,0.04825568199157715
5,RF,0.8517887563884157,0.852124059355639,0.8532044320648382,0.8517887563884157,0.33722925186157227
6,kNN,0.4957410562180579,0.4997817358283616,0.5269680572597949,0.4957410562180579,0.0004260540008544922
6,SVM,0.8313458262350937,0.8332387499889918,0.8405082405304225,0.8313458262350937,0.14186382293701172
6,NB,0.8023850085178875,0.8036746645162933,0.805736734717131,0.8023850085178875,0.002490997314453125
6,NN,0.858603066439523,0.8596342098545792,0.8613329838900639,0.858603066439523,0.3352835178375244
6,LR,0.9131175468483816,0.9130247695891858,0.9130100901576168,0.9131175468483816,0.04830598831176758
6,RF,0.8722316865417377,0.8727904168778279,0.8742172327430634,0.8722316865417377,0.34876155853271484
7,kNN,0.5008517887563884,0.5004275472739843,0.5146100175767291,0.5008517887563884,0.000415802001953125
7,SVM,0.8568994889267462,0.8574379584718566,0.8604694288742094,0.8568994889267462,0.1418607234954834
7,NB,0.7819420783645656,0.7833900384672827,0.7867224023682388,0.7819420783645656,0.003439188003540039
7,NN,0.8551959114139693,0.8564059070158029,0.8588932157311296,0.8551959114139693,0.32993555068969727
7,LR,0.889267461669506,0.8899216365916842,0.8914499436448826,0.889267461669506,0.05073738098144531
7,RF,0.8262350936967632,0.8272617663545575,0.8298969834628962,0.8262350936967632,0.3316183090209961
8,kNN,0.4684838160136286,0.46087177464490514,0.4710284043925078,0.4684838160136286,0.00046753883361816406
8,SVM,0.8228279386712095,0.8225671479145273,0.8234857109124133,0.8228279386712095,0.13197040557861328
8,NB,0.778534923339012,0.7780575820284933,0.7777633652761741,0.778534923339012,0.004983186721801758
8,NN,0.838160136286201,0.8380693945345749,0.8382514890606884,0.838160136286201,0.542137861251831
8,LR,0.889267461669506,0.8886349623671264,0.8885277085425742,0.889267461669506,0.043997764587402344
8,RF,0.8415672913117547,0.8402881873761984,0.8402931365332195,0.8415672913117547,0.34377193450927734
9,kNN,0.46678023850085176,0.4651826186185123,0.48062129478889254,0.46678023850085176,0.0032982826232910156
9,SVM,0.8432708688245315,0.843789717655306,0.8470825283208874,0.8432708688245315,0.12737345695495605
9,NB,0.7853492333901193,0.7857034377498585,0.7863183077410046,0.7853492333901193,0.004241943359375
9,NN,0.8637137989778535,0.8640121861470451,0.8649192169134047,0.8637137989778535,0.3115348815917969
9,LR,0.8858603066439523,0.885818893965417,0.8858076424540351,0.8858603066439523,0.04589104652404785
9,RF,0.858603066439523,0.8582509974626652,0.8583798246252122,0.858603066439523,0.3447444438934326
10,kNN,0.4940374787052811,0.4909073662443421,0.505594201520495,0.4940374787052811,0.00042557716369628906
